Ride_ID,User_ID,Driver_ID,Ride_DateTime,Pickup_Location,Dropoff_Location,Distance_km,Ride_Duration_min,Fare_Amount,Payment_Method,Ride_Status,User_Rating,Driver_Rating,Surge_Pricing,Promo_Code_Used,Vehicle_Type,Weather_Condition,Traffic_Level,Driver_Experience_Years,User_Type
R000001,U8270,D464,04-01-24 17:18,Financial District,Midtown,30.86,85,96.59,Mobile Wallet,Completed,4.9,4.9,Yes,Yes,SUV,Clear,Low,1,Frequent
R000002,U1860,D676,02-01-24 11:24,Mall,Financial District,19.24,60,75.84,Credit Card,Completed,3.3,3.9,No,Yes,Sedan,Rainy,Medium,7,New
R000003,U6390,D425,07-01-24 0:38,Suburbs,University,2.27,9,11.16,Credit Card,Completed,4.5,3.7,No,Yes,Motorcycle,Clear,High,1,New
R000004,U6191,D680,07-01-24 16:19,Suburbs,Airport,22.87,55,77.68,Cash,Completed,3.3,4.9,No,No,SUV,Foggy,Low,6,Returning
R000005,U6734,D732,02-01-24 21:27,Midtown,Downtown,18.59,42,66.59,Cash,No-show,2.8,2.6,No,No,Sedan,Clear,Low,9,New
R000006,U7265,D720,05-01-24 19:47,Airport,Mall,8.49,27,39.27,Credit Card,Completed,4,3.3,Yes,No,Sedan,Clear,Medium,5,Frequent
R000007,U1466,D927,06-01-24 17:29,Suburbs,Suburbs,26.99,100,87.4,Cash,Completed,4.3,4.3,No,No,Electric,Rainy,Low,9,Returning
R000008,U5426,D346,04-01-24 13:45,Suburbs,Midtown,32.74,108,94.39,Credit Card,Completed,3.6,3.3,Yes,No,SUV,Snowy,Medium,8,Returning
R000009,U6578,D533,07-01-24 4:58,Suburbs,University,11.97,32,39.18,Mobile Wallet,No-show,3.3,1.5,No,Yes,SUV,Clear,Low,2,Returning
R000010,U9322,D192,05-01-24 19:19,Downtown,Financial District,17.79,70,61.68,Credit Card,Completed,4.1,3.7,No,No,Sedan,Foggy,Low,5,Returning
R000011,U2685,D367,02-01-24 0:39,Suburbs,Airport,5.36,21,26.4,Cash,Completed,3.9,5,No,No,SUV,Clear,Medium,5,New
R000012,U1769,D714,07-01-24 13:33,Suburbs,Financial District,32.61,115,97.64,Mobile Wallet,Completed,3.6,3,No,No,Sedan,Rainy,Medium,4,Frequent
R000013,U7949,D723,04-01-24 17:31,Financial District,Airport,11.84,43,39.82,Cash,Canceled,2.9,2.7,No,No,SUV,Rainy,Medium,1,Frequent
R000014,U3433,D420,06-01-24 10:18,University,University,7.62,27,32.82,Credit Card,Completed,4,3.9,No,No,Sedan,Foggy,Low,8,Frequent
R000015,U6311,D915,06-01-24 2:24,Downtown,Downtown,17.27,43,53.01,Credit Card,Completed,4.1,3.5,No,No,Sedan,Rainy,High,5,New
R000016,U6051,D955,07-01-24 19:17,Suburbs,Downtown,2.47,6,13.34,Credit Card,Completed,3.8,3.2,No,Yes,Motorcycle,Foggy,Medium,5,New
R000017,U7420,D161,05-01-24 20:29,University,Mall,9.6,30,32.53,Credit Card,Completed,4,3.7,No,Yes,SUV,Rainy,Medium,2,New
R000018,U2184,D399,06-01-24 12:02,Suburbs,Midtown,3.3,13,15.14,Cash,Completed,4.7,3.6,No,Yes,Motorcycle,Rainy,Medium,6,Returning
R000019,U5555,D502,03-01-24 1:14,Midtown,Midtown,5.33,20,26.3,Credit Card,No-show,2.7,1.9,Yes,No,Electric,Rainy,Low,9,Frequent
R000020,U4385,D747,02-01-24 21:19,Midtown,Airport,4.81,11,19.3,Credit Card,Completed,4.1,4.7,No,No,Sedan,Rainy,Low,1,Returning
R000021,U7396,D666,05-01-24 14:45,University,Airport,30.66,65,108.9,Credit Card,Completed,3.4,4.8,No,Yes,Motorcycle,Foggy,Medium,2,New
R000022,U9666,D719,07-01-24 20:23,Downtown,Airport,32.63,122,101,Credit Card,Completed,3.2,4.3,Yes,Yes,Motorcycle,Clear,Medium,4,Returning
R000023,U3558,D402,01-01-24 15:58,Financial District,Airport,17.13,55,62.46,Mobile Wallet,No-show,2,1.8,No,No,Sedan,Clear,Medium,7,Frequent
R000024,U8849,D869,04-01-24 6:11,Downtown,Mall,22.43,59,71.34,Cash,Completed,4.3,4.4,No,No,SUV,Clear,Medium,2,New
R000025,U3047,D352,04-01-24 15:32,Downtown,University,24.66,77,93.41,Cash,Completed,3.6,3.4,No,No,Shared,Clear,High,10,Frequent
R000026,U3747,D833,05-01-24 6:15,Midtown,University,14.3,35,50.41,Mobile Wallet,No-show,3.1,1.5,No,No,SUV,Foggy,Low,4,Frequent
R000027,U1189,D577,05-01-24 16:42,Midtown,Downtown,13.59,53,38.13,Credit Card,Completed,4.1,3.3,No,Yes,Sedan,Clear,Medium,8,Returning
R000028,U3734,D468,05-01-24 18:14,Financial District,Midtown,23.97,88,65.95,Credit Card,Completed,4.7,3.9,No,No,Motorcycle,Foggy,Low,8,New
R000029,U4005,D778,03-01-24 12:25,Mall,Mall,13.81,54,55.54,Mobile Wallet,Completed,3.3,3.8,No,No,SUV,Clear,High,7,Returning
R000030,U5658,D259,07-01-24 9:50,Mall,Midtown,20.75,49,75.69,Credit Card,Canceled,1.4,3.2,No,No,Electric,Rainy,Medium,1,Frequent
R000031,U2899,D265,02-01-24 3:49,Mall,Suburbs,18.52,68,51.81,Credit Card,Canceled,3.4,3.5,No,Yes,Sedan,Thunderstorm,Low,2,Frequent
R000032,U8734,D304,06-01-24 18:31,Suburbs,Midtown,18.83,59,66.46,Credit Card,Completed,4.4,4.9,No,No,Sedan,Clear,Medium,10,Returning
R000033,U2267,D366,02-01-24 14:31,Financial District,Midtown,29.2,77,88.41,Mobile Wallet,Completed,3.9,4.6,No,No,SUV,Rainy,Medium,1,New
R000034,U2528,D237,03-01-24 10:09,Suburbs,Financial District,24.94,74,84.87,Cash,Completed,4.9,3.6,No,Yes,SUV,Clear,High,3,Returning
R000035,U4556,D467,05-01-24 6:03,University,Financial District,33.66,131,109.48,Credit Card,Completed,4.7,3.5,No,No,Sedan,Foggy,Medium,3,New
R000036,U4890,D542,05-01-24 1:55,University,Mall,27.89,94,79.9,Credit Card,Completed,4,3.3,No,No,Sedan,Clear,Medium,7,Returning
R000037,U9838,D957,07-01-24 8:16,Airport,Suburbs,5.96,16,20.06,Cash,Completed,3.2,3.6,Yes,No,Sedan,Clear,Medium,4,Frequent
R000038,U6393,D859,06-01-24 1:27,Mall,Airport,26.11,104,83.36,Credit Card,Completed,3.9,4.4,No,No,Motorcycle,Clear,Medium,10,Returning
R000039,U9792,D666,06-01-24 18:01,Midtown,Suburbs,23.63,64,90.73,Credit Card,Completed,4.2,4.6,Yes,No,Motorcycle,Clear,Low,7,New
R000040,U9433,D820,03-01-24 10:00,Airport,Suburbs,22.97,83,72.59,Credit Card,Canceled,1.5,2.4,Yes,Yes,SUV,Thunderstorm,Medium,3,Returning
R000041,U8513,D116,04-01-24 11:44,Airport,Downtown,17.35,62,59.17,Cash,Completed,4.1,4.6,No,No,SUV,Rainy,Medium,1,Returning
R000042,U3612,D167,01-01-24 17:19,Midtown,University,3.12,11,12.84,Cash,Canceled,2.2,3,No,No,SUV,Clear,Low,6,Returning
R000043,U8041,D232,01-01-24 3:11,Airport,Midtown,33.35,111,101.26,Cash,Completed,3.9,4.9,No,Yes,SUV,Clear,High,8,New
R000044,U7235,D799,04-01-24 23:34,Mall,Downtown,29.97,66,105.33,Credit Card,Completed,3.9,3.5,No,No,Electric,Foggy,Medium,8,New
R000045,U6486,D529,03-01-24 15:09,Downtown,Mall,17.55,70,54.3,Cash,Canceled,2.7,1.2,Yes,No,SUV,Clear,Low,5,Returning
R000046,U8099,D407,06-01-24 2:18,Suburbs,University,6.39,15,25.94,Credit Card,Completed,4.1,3.7,No,Yes,Motorcycle,Clear,Low,3,Frequent
R000047,U1775,D749,05-01-24 4:24,Mall,Mall,29.03,93,88.61,Cash,Completed,4,3.7,No,No,Sedan,Clear,Medium,4,Frequent
R000048,U9226,D273,02-01-24 3:34,Financial District,Midtown,15.64,39,52.02,Credit Card,Canceled,1.5,1.2,No,No,SUV,Clear,Low,3,Returning
R000049,U4152,D511,01-01-24 8:22,Midtown,Mall,14.26,33,45.44,Cash,Completed,3.4,3.4,Yes,No,SUV,Foggy,Medium,4,Returning
R000050,U2585,D196,02-01-24 11:32,Downtown,Suburbs,23.62,74,69.91,Credit Card,Completed,4.2,4.1,No,Yes,Sedan,Clear,Medium,8,Returning
R000051,U4943,D782,05-01-24 3:56,University,Midtown,26.79,98,90.08,Mobile Wallet,Completed,4.7,3.5,No,No,SUV,Clear,Low,8,Frequent
R000052,U8555,D253,04-01-24 10:15,Financial District,Airport,3.14,9,13.88,Cash,Completed,4.3,3.6,No,No,Electric,Clear,Medium,6,Returning
R000053,U4073,D794,04-01-24 10:21,Financial District,Airport,27.1,58,83.21,Credit Card,Completed,4.6,4.8,Yes,No,Sedan,Rainy,Low,9,Returning
R000054,U2021,D341,01-01-24 14:23,Financial District,Suburbs,25.95,84,80.59,Mobile Wallet,Completed,3.9,4.1,No,Yes,Electric,Clear,Medium,6,New
R000055,U4843,D403,06-01-24 5:37,Airport,Mall,21.03,74,78.05,Credit Card,Completed,4.3,4.1,Yes,Yes,SUV,Clear,Low,8,Returning
